Page,File,Image Time,Image Count,Text Time,Characters,Caption Time,Caption Count,Image Save Time,Save Count,Text save time,Characters
0,385.pdf,0.0001619560644030571,1,0.009577096905559301,316,9.296927601099014e-06,0,0.018937881104648113,1,0.0002619549632072449,316
1,385.pdf,5.415384657680988e-05,0,0.003713201964274049,791,2.2562919184565544e-05,0,7.099006325006485e-07,0,6.493600085377693e-05,791
2,385.pdf,2.6659108698368073e-05,0,0.0016604037955403328,1660,1.8063001334667206e-05,0,6.509944796562195e-07,0,6.244913674890995e-05,1660
3,385.pdf,2.6347115635871887e-05,0,0.0011081749107688665,1110,4.6868110075592995e-05,0,7.029157131910324e-07,0,5.283113569021225e-05,1110
4,385.pdf,0.00010740011930465698,1,0.004249282879754901,1643,1.4455989003181458e-05,1,0.023215162800624967,1,7.682596333324909e-05,1643
5,385.pdf,0.00011557713150978088,1,0.0014299878384917974,2397,1.8115155398845673e-05,1,0.07758815493434668,1,8.904212154448032e-05,2397
6,385.pdf,5.573593080043793e-05,0,0.0028931729029864073,3954,2.9765069484710693e-05,0,7.159542292356491e-07,0,7.13299959897995e-05,3954
7,385.pdf,2.64681875705719e-05,0,0.0036273011937737465,3059,3.909110091626644e-05,0,7.208436727523804e-07,0,6.761681288480759e-05,3059
8,385.pdf,0.00011232402175664902,1,0.002308177063241601,2631,2.07400880753994e-05,2,0.06856896891258657,1,9.940681047737598e-05,2631
9,385.pdf,0.00014368700794875622,1,0.0007667590398341417,721,1.566484570503235e-05,1,0.10255770292133093,1,0.00011750892736017704,721
10,385.pdf,6.679492071270943e-05,0,0.0027835830114781857,2698,2.7476809918880463e-05,0,7.338821887969971e-07,0,7.115094922482967e-05,2698
11,385.pdf,2.771499566733837e-05,0,0.0058519840240478516,4677,0.00030955299735069275,0,7.520429790019989e-07,0,7.189693860709667e-05,4677
12,385.pdf,2.7097063139081e-05,0,0.0013112120795994997,3054,0.00021723913960158825,0,6.67991116642952e-07,0,6.89139124006033e-05,3054
13,385.pdf,0.00011094007641077042,1,0.0021592029370367527,1930,1.9144965335726738e-05,1,0.012370299082249403,1,5.70730771869421e-05,1930
14,385.pdf,9.810295887291431e-05,1,0.0013637109659612179,1547,1.512700691819191e-05,1,0.015705853002145886,1,6.0055870562791824e-05,1547
15,385.pdf,2.7905916795134544e-05,0,0.0014890118036419153,2431,1.615704968571663e-05,0,7.480848580598831e-07,0,6.221397779881954e-05,2431
16,385.pdf,8.768192492425442e-05,1,0.0014435769990086555,2263,2.016196958720684e-05,1,0.008633255958557129,1,5.989009514451027e-05,2263
17,385.pdf,8.965609595179558e-05,1,0.0015896810218691826,2567,2.171006053686142e-05,1,0.013386439997702837,1,7.735705003142357e-05,2567
18,385.pdf,2.706097438931465e-05,0,0.00228815502487123,3798,2.3358967155218124e-05,0,6.449408829212189e-07,0,6.90920278429985e-05,3798
19,385.pdf,2.574315294623375e-05,0,0.0022135309409350157,4045,2.3315194994211197e-05,0,6.540212780237198e-07,0,7.027597166597843e-05,4045
20,385.pdf,2.5717075914144516e-05,0,0.004749092971906066,2194,1.527019776403904e-05,0,7.040798664093018e-07,0,6.353901699185371e-05,2194
0,386.pdf,0.00013163289986550808,1,0.0036957720294594765,369,1.0825926437973976e-05,0,0.01430033310316503,1,6.624916568398476e-05,369
1,386.pdf,3.620004281401634e-05,0,0.003446343820542097,641,2.5851884856820107e-05,0,8.17934051156044e-07,0,5.584699101746082e-05,641
2,386.pdf,2.556690014898777e-05,0,0.0033978528808802366,4098,2.0653940737247467e-05,0,6.780028343200684e-07,0,5.500810220837593e-05,4098
3,386.pdf,2.5342917069792747e-05,0,0.001592325046658516,1347,1.558312214910984e-05,0,6.568152457475662e-07,0,4.6694884076714516e-05,1347
4,386.pdf,2.4995999410748482e-05,0,0.0015365760773420334,1730,7.165316492319107e-05,0,6.949994713068008e-07,0,4.478287883102894e-05,1730
5,386.pdf,2.5648856535553932e-05,0,0.0011046039871871471,952,3.898097202181816e-05,0,6.959307938814163e-07,0,5.164812318980694e-05,952
6,386.pdf,2.6508932933211327e-05,0,0.005926528014242649,3404,2.7239089831709862e-05,0,7.41099938750267e-07,0,5.666282959282398e-05,3404
7,386.pdf,2.5274930521845818e-05,0,0.0048193170223385096,3090,6.577093154191971e-05,0,6.780028343200684e-07,0,5.1859067752957344e-05,3090
8,386.pdf,0.00016034208238124847,2,0.0005842589307576418,336,8.34302045404911e-06,2,0.06838690512813628,2,6.879400461912155e-05,336
9,386.pdf,0.00026590400375425816,4,0.0011552739888429642,1039,1.2962846085429192e-05,0,0.06688943202607334,4,7.855496369302273e-05,1039
10,386.pdf,0.00021314597688615322,3,0.0007397551089525223,584,1.299101859331131e-05,1,0.03118595900014043,3,4.8800138756632805e-05,584
11,386.pdf,2.9193004593253136e-05,0,0.002112885005772114,3944,1.946208067238331e-05,0,7.471535354852676e-07,0,5.356501787900925e-05,3944
12,386.pdf,8.287699893116951e-05,1,0.0012288850266486406,2196,1.7472077161073685e-05,1,0.030818438855931163,1,6.827409379184246e-05,2196
13,386.pdf,4.467880353331566e-05,0,0.0019603450782597065,3585,2.0943814888596535e-05,0,6.780028343200684e-07,0,5.1342882215976715e-05,3585
14,386.pdf,0.00010326015762984753,1,0.001166083151474595,714,1.0086921975016594e-05,1,0.07740059681236744,1,7.716403342783451e-05,714
15,386.pdf,5.850009620189667e-05,0,0.0031528680119663477,3788,3.5831937566399574e-05,0,7.329508662223816e-07,0,5.8511970564723015e-05,3788
16,386.pdf,2.5537097826600075e-05,0,0.00343230995349586,2593,2.8155045583844185e-05,0,6.710179150104523e-07,0,5.105300806462765e-05,2593
17,386.pdf,2.490798942744732e-05,0,0.0026834679301828146,1173,2.5827903300523758e-05,0,6.461050361394882e-07,0,4.4694170355796814e-05,1173
18,386.pdf,0.00010139192454516888,1,0.0005823101382702589,286,8.387025445699692e-06,1,0.11657855287194252,1,7.330998778343201e-05,286
19,386.pdf,5.635712295770645e-05,0,0.003994929837062955,2220,3.3496879041194916e-05,0,7.308553904294968e-07,0,5.1533104851841927e-05,2220
20,386.pdf,0.0001044559758156538,1,0.004010895965620875,1267,4.20641154050827e-05,1,0.01207251800224185,1,4.720897413790226e-05,1267
21,386.pdf,2.6482855901122093e-05,0,0.0021932879462838173,4199,2.4248147383332253e-05,0,7.119961082935333e-07,0,5.663605406880379e-05,4199
22,386.pdf,0.0002053400967270136,4,0.001102471025660634,1674,1.8137041479349136e-05,1,0.07829535403288901,4,7.22238328307867e-05,1674
23,386.pdf,0.00018265610560774803,2,0.002126770094037056,2654,2.0908890292048454e-05,1,0.011774410959333181,2,4.9720052629709244e-05,2654
24,386.pdf,2.7097994461655617e-05,0,0.0019149831496179104,3578,2.3226020857691765e-05,0,7.238704711198807e-07,0,5.606398917734623e-05,3578
25,386.pdf,0.00011857692152261734,2,0.0004319970030337572,403,9.397976100444794e-06,1,0.050225311890244484,2,5.7132914662361145e-05,403
26,386.pdf,9.346310980618e-05,1,0.00043246708810329437,314,1.1939089745283127e-05,1,0.09131864295341074,1,7.909489795565605e-05,314
