Page,Image Time,Image Count,Text Time,Characters,Caption Time,Caption Count,Save Time,Save Count
0,0.00022588088177144527,3,0.0027662368956953287,342,1.0365154594182968e-05,0,0.27804494206793606,3
1,5.603395402431488e-05,0,0.002567168092355132,781,2.3244880139827728e-05,0,8.50064679980278e-07,0
2,2.8199050575494766e-05,0,0.0007310668006539345,1262,1.6838079318404198e-05,0,6.880145519971848e-07,0
3,2.7518020942807198e-05,0,0.0009359540417790413,1820,5.903816781938076e-05,0,7.990747690200806e-07,0
4,2.708612009882927e-05,0,0.00034374999813735485,515,9.85502265393734e-06,0,6.689224392175674e-07,0
5,0.0001013029832392931,1,0.0029438850469887257,1865,1.671118661761284e-05,1,0.27127261692658067,1
6,6.455904804170132e-05,0,0.002639621961861849,2513,2.862699329853058e-05,0,7.208436727523804e-07,0
7,3.0206050723791122e-05,0,0.001830973895266652,4038,2.335500903427601e-05,0,7.560010999441147e-07,0
8,2.711499109864235e-05,0,0.0015679928474128246,3451,2.229982055723667e-05,0,7.639173418283463e-07,0
9,0.00010158820077776909,1,0.000904913991689682,1510,1.4313962310552597e-05,2,0.010257930029183626,1
10,7.829489186406136e-05,1,0.0023138830438256264,2696,1.866486854851246e-05,1,0.020280410069972277,1
11,8.329004049301147e-05,1,0.0009804400615394115,1907,1.985696144402027e-05,1,0.009771130047738552,1
12,2.9270071536302567e-05,0,0.0018344179261475801,4054,0.0002016131766140461,0,7.660128176212311e-07,0
13,2.670101821422577e-05,0,0.0018925732001662254,4108,0.0001935239415615797,0,7.229391485452652e-07,0
14,2.6002991944551468e-05,0,0.0011571389622986317,2319,0.00012222817167639732,0,7.511116564273834e-07,0
15,2.6491936296224594e-05,0,0.0013697929680347443,2891,0.0001419892068952322,0,7.259659469127655e-07,0
16,2.618297003209591e-05,0,0.0013662949204444885,2720,0.0001603949349373579,0,7.601920515298843e-07,0
17,0.00012485194019973278,2,0.00030229194089770317,336,8.912989869713783e-06,2,0.010386846959590912,2
18,8.203811012208462e-05,1,0.001150784082710743,2443,1.789419911801815e-05,1,0.00575685384683311,1
19,3.7324149161577225e-05,0,0.0007962130475789309,1397,8.108303882181644e-05,0,7.890630513429642e-07,0
20,0.00011486303992569447,2,0.0006951650138944387,1276,1.4845980331301689e-05,2,0.014140518847852945,2
21,2.8684968128800392e-05,0,0.001423398032784462,2990,0.00014858809299767017,0,7.532071322202682e-07,0
22,2.651102840900421e-05,0,0.0008313409052789211,1324,7.374794222414494e-05,0,8.149072527885437e-07,0
23,2.605793997645378e-05,0,0.0018961979076266289,4339,0.00020110001787543297,0,7.958151400089264e-07,0
24,2.587190829217434e-05,0,0.0017354232259094715,3600,0.0001999950036406517,0,7.660128176212311e-07,0
25,7.846695370972157e-05,1,0.001400145934894681,3061,1.712888479232788e-05,1,0.004781648050993681,1
26,8.255406282842159e-05,1,0.0011669450905174017,2494,1.5506986528635025e-05,1,0.39091625600121915,1
27,6.184307858347893e-05,0,0.0021061438601464033,4338,2.8943875804543495e-05,0,7.778871804475784e-07,0
28,2.7387170121073723e-05,0,0.0018788650631904602,4233,2.255896106362343e-05,0,7.809139788150787e-07,0
29,2.7023954316973686e-05,0,0.001843431033194065,4205,2.116011455655098e-05,0,7.611233741044998e-07,0
30,2.6354100555181503e-05,0,0.0025440799072384834,4656,2.3697037249803543e-05,0,7.350463420152664e-07,0
31,2.7189962565898895e-05,0,0.0030239198822528124,5442,2.8725946322083473e-05,0,9.180512279272079e-07,0
32,2.6733148843050003e-05,0,0.0029331010300666094,5280,2.7291011065244675e-05,0,8.149072527885437e-07,0
33,2.5941990315914154e-05,0,0.002534861210733652,4593,2.6379944756627083e-05,0,7.380731403827667e-07,0
