Method,Processes,File,Pages,Jobs,Extract_Time,Job_Time,Total_Time
Workers,2,data/385.pdf,21,10,0.06863045692443848,2.319740056991577,2.388374090194702
Workers,2,data/386.pdf,66,24,0.13438677787780762,4.207796096801758,4.342187404632568
Workers,2,data/387.pdf,36,19,0.06529664993286133,5.947238206863403,6.0125391483306885
Workers,2,data/388.pdf,18,6,0.1111750602722168,1.9409635066986084,2.052142858505249
Workers,2,data/389.pdf,53,32,0.07714223861694336,7.056360721588135,7.133507490158081
Workers,2,data/390.pdf,34,13,0.03618454933166504,3.2721452713012695,3.3083336353302
Workers,2,data/391.pdf,31,16,0.05448722839355469,2.207714557647705,2.2622053623199463
Scatter,2,data/385.pdf,21,10,0.036963701248168945,1.3673443794250488,1.4043121337890625
Scatter,2,data/386.pdf,66,24,0.08498930931091309,4.374269008636475,4.45927095413208
Scatter,2,data/387.pdf,36,19,0.044731855392456055,2.42881178855896,2.4735467433929443
Scatter,2,data/388.pdf,18,6,0.019647598266601562,0.8796331882476807,0.8992841243743896
Scatter,2,data/389.pdf,53,32,0.05012941360473633,5.642791748046875,5.692925691604614
Scatter,2,data/390.pdf,34,13,0.036019325256347656,2.4212417602539062,2.4572651386260986
Scatter,2,data/391.pdf,31,16,0.036379337310791016,1.7156708240509033,1.7520537376403809
Workers,4,data/385.pdf,21,10,0.06635117530822754,1.691828727722168,1.7581818103790283
Workers,4,data/386.pdf,66,24,0.09577298164367676,4.104431390762329,4.200206756591797
Workers,4,data/387.pdf,36,19,0.048325300216674805,1.2547972202301025,1.303124189376831
Workers,4,data/388.pdf,18,6,0.027164459228515625,1.4686765670776367,1.495842695236206
Workers,4,data/389.pdf,53,32,0.055600881576538086,6.423903942108154,6.479506731033325
Workers,4,data/390.pdf,34,13,0.02285146713256836,2.6508328914642334,2.6736860275268555
Workers,4,data/391.pdf,31,16,0.04088115692138672,3.2808804512023926,3.321763038635254
Scatter,4,data/385.pdf,21,10,0.037491798400878906,0.55641770362854,0.5939133167266846
Scatter,4,data/386.pdf,66,24,0.0554349422454834,5.73682975769043,5.792267799377441
Scatter,4,data/387.pdf,36,19,0.026437759399414062,1.916412353515625,1.94285249710083
Scatter,4,data/388.pdf,18,6,0.01641225814819336,1.4551339149475098,1.4715476036071777
Scatter,4,data/389.pdf,53,32,0.03249669075012207,4.921438455581665,4.953937530517578
Scatter,4,data/390.pdf,34,13,0.021129131317138672,2.727787971496582,2.7489194869995117
Scatter,4,data/391.pdf,31,16,0.02115154266357422,0.7037811279296875,0.7249350547790527
Workers,8,data/385.pdf,21,10,0.020772457122802734,1.80916428565979,1.829939603805542
Workers,8,data/386.pdf,66,24,0.03910017013549805,2.678645372390747,2.7177484035491943
Workers,8,data/387.pdf,36,19,0.016776084899902344,1.6016855239868164,1.618464469909668
Workers,8,data/388.pdf,18,6,0.008852958679199219,0.8931584358215332,0.9020137786865234
Workers,8,data/389.pdf,53,32,0.01979207992553711,3.9846818447113037,4.004476547241211
Workers,8,data/390.pdf,34,13,0.014524459838867188,1.470304250717163,1.4848308563232422
Workers,8,data/391.pdf,31,16,0.013103485107421875,2.3404242992401123,2.3535304069519043
Scatter,8,data/385.pdf,21,10,0.02141427993774414,0.677577018737793,0.6989941596984863
Scatter,8,data/386.pdf,66,24,0.03922462463378906,2.3331310749053955,2.372358560562134
Scatter,8,data/387.pdf,36,19,0.016956090927124023,4.157099008560181,4.174058198928833
Scatter,8,data/388.pdf,18,6,0.0087890625,1.806096076965332,1.814887285232544
Scatter,8,data/389.pdf,53,32,0.019556760787963867,1.73441481590271,1.753974199295044
Scatter,8,data/390.pdf,34,13,0.01429605484008789,1.7161648273468018,1.730473279953003
Scatter,8,data/391.pdf,31,16,0.013095617294311523,2.221910238265991,2.23500919342041
Workers,16,data/385.pdf,21,10,0.02865910530090332,2.1800427436828613,2.208704710006714
Workers,16,data/386.pdf,66,24,0.03583192825317383,1.3315980434417725,1.3674359321594238
Workers,16,data/387.pdf,36,19,0.014775276184082031,1.416649580001831,1.431429386138916
Workers,16,data/388.pdf,18,6,0.010099172592163086,1.4751076698303223,1.4852092266082764
Workers,16,data/389.pdf,53,32,0.014276981353759766,2.9610698223114014,2.975351572036743
Workers,16,data/390.pdf,34,13,0.009627819061279297,1.6220722198486328,1.6317048072814941
Workers,16,data/391.pdf,31,16,0.014675617218017578,1.149120807647705,1.163802146911621
Scatter,16,data/385.pdf,21,10,0.02115917205810547,0.1627941131591797,0.18395638465881348
Scatter,16,data/386.pdf,66,24,0.039014339447021484,2.4981768131256104,2.53719425201416
Scatter,16,data/387.pdf,36,19,0.013268232345581055,3.195141553878784,3.2084124088287354
Scatter,16,data/388.pdf,18,6,0.009195804595947266,2.0559756755828857,2.0651745796203613
Scatter,16,data/389.pdf,53,32,0.012976646423339844,2.4134387969970703,2.4264209270477295
Scatter,16,data/390.pdf,34,13,0.01836562156677246,2.1809370517730713,2.199305534362793
Scatter,16,data/391.pdf,31,16,0.010897159576416016,2.4108047485351562,2.4217050075531006
